Zone,County,District,geometry,Area,Region,Population,Constituency,centroid
Alington,A01,Alington City,"POLYGON ((2842 1312, 2842 1318.43, 2842 1324.86, 2842 1334, 2848.92 1334, 2856.88 1334, 2864 1334, 2864 1339.34, 2864 1346.52, 2864 1356, 2870.2 1356, 2874.58 1356, 2884.34 1356, 2886.99 1356, 2888.82 1356, 2898.41 1356, 2904.4 1356, 2908 1356, 2908 1353.08, 2908 1347.52, 2908 1344.41, 2908 1342.66, 2908 1340.5, 2908 1334, 2908 1329.8, 2908 1323, 2908 1314.28, 2908 1312, 2906.81 1312, 2898.59 1312, 2893.73 1312, 2886.03 1312, 2866.75 1312, 2858.5 1312, 2852.91 1312, 2849.5 1312, 2842 1312))",37.718146999999995,Capital,540658,The City of Alington,"(2879.4, 1331.8)"
Alington,A02,Alington City,"POLYGON ((2842 1334, 2842 1342.35, 2842 1349.48, 2842 1356, 2854 1356, 2864 1356, 2864 1346.52, 2864 1339.34, 2864 1334, 2856.88 1334, 2848.92 1334, 2842 1334))",7.54363,Capital,64742,The City of Alington,"(2853.0, 1345.0)"
Alington,A03,Alington City,"POLYGON ((2854 1375.34, 2854 1378, 2860.19 1378, 2868.26 1378, 2869.87 1378, 2871.48 1378, 2879.55 1378, 2886 1378, 2886 1385.55, 2886 1388.07, 2886 1395.34, 2886 1400, 2890.16 1400, 2896.49 1400, 2906.11 1400, 2908 1400, 2908 1394.68, 2908 1389, 2908 1382.42, 2908 1379.75, 2908 1378, 2908 1364.68, 2908 1360.05, 2908 1356, 2904.4 1356, 2898.41 1356, 2888.82 1356, 2886.99 1356, 2884.34 1356, 2874.58 1356, 2870.2 1356, 2864 1356, 2854 1356, 2854 1367.11, 2854 1375.34))",26.059807999999997,Capital,341794,Upper Alington,"(2885.6315789473692, 1373.3684210526314)"
Alington,A04,Alington City,"POLYGON ((2829.91 1378, 2820 1378, 2820 1382.16, 2820 1384.24, 2820 1388.59, 2820 1392.03, 2820 1400, 2825.42 1400, 2825.64 1400, 2827.4 1400, 2834.1 1400, 2839.37 1400, 2842 1400, 2847.11 1400, 2849.44 1400, 2850.65 1400, 2856.1 1400, 2858.66 1400, 2864 1400, 2870.46 1400, 2880.26 1400, 2883.21 1400, 2886 1400, 2886 1395.34, 2886 1388.07, 2886 1385.55, 2886 1378, 2879.55 1378, 2871.48 1378, 2869.87 1378, 2868.26 1378, 2860.19 1378, 2854 1378, 2851.96 1378, 2840.22 1378, 2831.33 1378, 2829.91 1378))",22.630883000000004,Capital,336535,Upper Alington,"(2853.0000000000005, 1389.0)"
Alington,A05,Alington City,"POLYGON ((2798 1356, 2798 1358.4, 2798 1365.61, 2798 1369.97, 2798 1375.22, 2798 1378, 2798 1381.6, 2798 1385.2, 2798 1392.39, 2798 1400, 2805.36 1400, 2809.85 1400, 2816.14 1400, 2820 1400, 2820 1392.03, 2820 1388.59, 2820 1384.24, 2820 1382.16, 2820 1378, 2829.91 1378, 2831.33 1378, 2840.22 1378, 2851.96 1378, 2854 1378, 2854 1375.34, 2854 1367.11, 2854 1356, 2842 1356, 2832.37 1356, 2820 1356, 2814.5 1356, 2811.75 1356, 2806.25 1356, 2798 1356))",26.745596,Capital,251610,Upper Alington,"(2821.2051282051284, 1373.2051282051282)"
Alington,A06,Alington Pass,"POLYGON ((2799.49 1312, 2798 1312, 2798 1323, 2798 1328.5, 2798 1334, 2798 1338.59, 2798 1340.81, 2798 1345, 2798 1350.5, 2798 1356, 2806.25 1356, 2811.75 1356, 2814.5 1356, 2820 1356, 2832.37 1356, 2842 1356, 2842 1349.48, 2842 1342.35, 2842 1334, 2842 1324.86, 2842 1318.43, 2842 1312, 2832.07 1312, 2828.95 1312, 2823.93 1312, 2820 1312, 2816.6 1312, 2816.26 1312, 2815.58 1312, 2811.39 1312, 2806.67 1312, 2804.88 1312, 2800.75 1312, 2799.49 1312))",30.174519,Capital,252552,Alington Pass,"(2819.9999999999995, 1333.9999999999998)"
Alington,A07,Alington Pass,"POLYGON ((2820 1281.4, 2820 1282.41, 2820 1286.09, 2820 1287.29, 2820 1290.02, 2820 1290.17, 2820 1292.13, 2820 1293.52, 2820 1298.59, 2820 1306.6, 2820 1308.79, 2820 1308.83, 2820 1312, 2823.93 1312, 2828.95 1312, 2832.07 1312, 2842 1312, 2842 1310.31, 2842 1304.3, 2842 1301.37, 2842 1297.31, 2842 1295.58, 2842 1291.81, 2842 1287.84, 2842 1282.98, 2842 1281.6, 2842 1280.18, 2842 1277.61, 2842 1271.68, 2842 1268, 2833.09 1268, 2827.53 1268, 2824.98 1268, 2820.85 1268, 2820 1268, 2820 1274.14, 2820 1277.44, 2820 1280.89, 2820 1281.4))",15.087252,Capital,198509,Alington Pass,"(2831.0, 1290.0)"
Alington,A08,Alington Pass,"POLYGON ((2798 1272.29, 2798 1282.05, 2798 1285.15, 2798 1289.2, 2798 1289.46, 2798 1290.89, 2798 1295.41, 2798 1299.94, 2798 1300.15, 2798 1307.07, 2798 1312, 2799.49 1312, 2800.75 1312, 2804.88 1312, 2806.67 1312, 2811.39 1312, 2815.58 1312, 2816.26 1312, 2816.6 1312, 2820 1312, 2820 1308.83, 2820 1308.79, 2820 1306.6, 2820 1298.59, 2820 1293.52, 2820 1292.13, 2820 1290.17, 2820 1290.02, 2820 1287.29, 2820 1286.09, 2820 1282.41, 2820 1281.4, 2820 1280.89, 2820 1277.44, 2820 1274.14, 2820 1268, 2817.71 1268, 2809.83 1268, 2808.38 1268, 2798 1268, 2798 1272.29))",15.087261999999999,Capital,150267,Alington Pass,"(2808.9999999999986, 1290.0)"
Alington,A09,Alington Pass,"POLYGON ((2761.26 1268, 2754 1268, 2754 1277.12, 2754 1286.25, 2754 1304.49, 2754 1312, 2769.13 1312, 2773.85 1312, 2774.05 1312, 2782.1 1312, 2787.22 1312, 2792.61 1312, 2798 1312, 2798 1307.07, 2798 1300.15, 2798 1299.94, 2798 1295.41, 2798 1290.89, 2798 1289.46, 2798 1289.2, 2798 1285.15, 2798 1282.05, 2798 1272.29, 2798 1268, 2796.35 1268, 2788.83 1268, 2782.25 1268, 2775.66 1268, 2775.52 1268, 2766.58 1268, 2761.26 1268))",30.174523999999998,Capital,99633,Alington Pass,"(2776.0, 1290.0000000000002)"
Alington,A10,Alington Pass,"POLYGON ((2757.47 1223, 2754 1223, 2754 1234.03, 2754 1250.61, 2754 1268, 2761.26 1268, 2766.58 1268, 2775.52 1268, 2775.66 1268, 2782.25 1268, 2788.83 1268, 2796.35 1268, 2798 1268, 2808.38 1268, 2809.83 1268, 2817.71 1268, 2820 1268, 2820.85 1268, 2824.98 1268, 2827.53 1268, 2833.09 1268, 2842 1268, 2842 1267.21, 2842 1262.76, 2842 1257.96, 2842 1252.03, 2842 1250.84, 2842 1245.53, 2842 1244.18, 2842 1241.73, 2842 1240.97, 2842 1235.41, 2842 1233.78, 2842 1231.42, 2842 1228.86, 2842 1226.9, 2842 1223, 2840.22 1223, 2832.75 1223, 2825.59 1223, 2814.55 1223, 2807.59 1223, 2799.61 1223, 2796.45 1223, 2790.71 1223, 2781.32 1223, 2775.61 1223, 2769.55 1223, 2757.47 1223))",61.72065899999999,Capital,279664,Alington Pass,"(2797.9999999999995, 1245.5)"
